temperatura,humedad,aguaEnSuelo,tipoSuelo,tipoCultivo,nitrogeno,potasio,fosforo,nombreFertilizante
26.0,52.0,38.0,Arenoso,Maiz,37,0,0,Urea
29.0,52.0,45.0,Franco,CañaAzucar,12,0,36,DAP
34.0,65.0,62.0,Negro,Algodon,7,9,30,14-35-14
32.0,62.0,34.0,Rojo,Tabaco,22,0,20,28-28
28.0,54.0,46.0,Arcilloso,Arrozal,35,0,0,Urea
26.0,52.0,35.0,Arenoso,Cebada,12,10,13,17-17-17
25.0,50.0,64.0,Rojo,Algodon,9,0,10,20-20
33.0,64.0,50.0,Franco,Trigo,41,0,0,Urea
30.0,60.0,42.0,Arenoso,Mijo,21,0,18,28-28
29.0,58.0,33.0,Negro,SemillasOleaginosas,9,7,30,14-35-14
27.0,54.0,28.0,Arcilloso,Legumbres,13,0,40,DAP
31.0,62.0,48.0,Arenoso,Maiz,14,15,12,17-17-17
25.0,50.0,65.0,Franco,Algodon,36,0,0,Urea
32.0,62.0,41.0,Arcilloso,Arrozal,24,0,22,28-28
26.0,52.0,31.0,Rojo,NuecesMani,14,0,41,DAP
31.0,62.0,49.0,Negro,CañaAzucar,10,13,14,17-17-17
33.0,64.0,34.0,Arcilloso,Legumbres,38,0,0,Urea
25.0,50.0,39.0,Arenoso,Cebada,21,0,19,28-28
28.0,54.0,65.0,Negro,Algodon,39,0,0,Urea
29.0,58.0,52.0,Franco,Trigo,13,0,36,DAP
30.0,60.0,44.0,Arenoso,Mijo,10,0,9,20-20
34.0,65.0,53.0,Franco,CañaAzucar,12,14,12,17-17-17
35.0,68.0,33.0,Rojo,Tabaco,11,0,37,DAP
28.0,54.0,37.0,Negro,Mijo,36,0,0,Urea
33.0,64.0,39.0,Arcilloso,Arrozal,13,0,10,20-20
26.0,52.0,44.0,Arenoso,Maiz,23,0,20,28-28
30.0,60.0,63.0,Rojo,Algodon,9,9,29,14-35-14
32.0,62.0,30.0,Franco,CañaAzucar,38,0,0,Urea
37.0,70.0,32.0,Negro,SemillasOleaginosas,12,0,39,DAP
26.0,52.0,36.0,Arcilloso,Legumbres,14,0,13,20-20
